timestamp,vix,tnx,spy_chg,leader
2026-04-29 08:27,20.00,4.30,0.00,🛡️ DEFENSIVE (Value)
2026-04-29 08:29,18.02,4.35,0.00,🛡️ DEFENSIVE (Value)
2026-04-29 13:31,18.02,4.35,0.00,🛡️ DEFENSIVE (Value)
2026-04-29 20:02,20.00,4.35,0.00,🛡️ DEFENSIVE (Value)
